"Unique ID";"Name";"Nation";"Division";"Status";"Stad Cap";"Division ID"
"1907";"LA Galaxy";"États-Unis";"MLS";"Professional";"27000";"40"
"116204";"Pachuca";"Mexique";"1ère Division";"Professional";"30024";"135973"
"879226";"TSG Hoffenheim";"Allemagne";"Bundesliga";"Professional";"30150";"22"
"2000167910";"Sevilla";"Espagne";"Première Division";"Professional";"5000";"2000167898"
"2000252593";"OM";"France";"Division 1";"Professional";"8500";"2000149107"
"339";"VDG";"Brésil";"1ère Division";"Professional";"21590";"102423"
"155";"SK Rapid";"Autriche";"Première Ligue";"Professional";"28345";"136543"
"474";"Slavia";"Rép. tchèque";"1ère Division";"Professional";"20800";"131287"
"505";"FC København";"Danemark";"3F Superliga";"Professional";"38265";"6"
"735";"West Ham";"Angleterre";"Premier League";"Professional";"62500";"11"
"1055";"Ferencváros";"Hongrie";"Division I";"Professional";"22000";"7520391"
"1174";"Torino";"Italie";"Serie A";"Professional";"28177";"32"
"1525";"Lokomotiv Moscow";"Russie";"Première Ligue";"Professional";"27320";"130486"
"1529";"Spartak Moscow";"Russie";"Première Ligue";"Professional";"46990";"130486"
"1688";"Alavés";"Espagne";"Première Division";"Professional";"19200";"67"
"37087234";"FC Twente";"Pays-Bas";"Première Division";"Professional";"3000";"2000180030"
"2000104565";"Brighton";"Angleterre";"WSL";"Professional";"5836";"2000101095"
"2000113596";"Liverpool";"Angleterre";"WSL";"Professional";"18000";"2000101095"
"2000148291";"Bayer Leverkusen";"Allemagne";"GP Frauen-Bundesliga";"Professional";"2817";"2000148115"
"2000166586";"Brann";"Norvège";"Première Division";"Professional";"17685";"2000148543"
"2000166588";"Vålerenga";"Norvège";"Première Division";"Professional";"16556";"2000148543"
"2000209828";"Fiorentina";"Italie";"Serie A Women Athora";"Professional";"3000";"2000168606"
"324";"GRE";"Brésil";"1ère Division";"Professional";"55726";"102423"
"156";"SK Sturm Graz";"Autriche";"Première Ligue";"Professional";"16364";"136543"
"642";"Crystal Palace";"Angleterre";"Premier League";"Professional";"25486";"11"
"846";"FC Nantes";"France";"Ligue 1 McDonald's";"Professional";"35322";"16"
"1725";"Espanyol";"Espagne";"Première Division";"Professional";"40000";"67"
"2061";"Brest";"France";"Ligue 1 McDonald's";"Professional";"15500";"16"
"102355";"Toluca";"Mexique";"1ère Division";"Professional";"31000";"135973"
"121182";"1. FC Union Berlin";"Allemagne";"Bundesliga";"Professional";"22012";"22"
"72014006";"Seattle";"États-Unis";"MLS";"Professional";"68740";"40"
"2000252483";"Strasbourg";"France";"Division 1";"Professional";"3000";"2000149107"
"326";"INT";"Brésil";"1ère Division";"Professional";"50128";"102423"
"258";"KRC Genk";"Belgique";"Jupiler Pro League";"Professional";"24956";"1"
"650";"Everton";"Angleterre";"Premier League";"Professional";"52769";"11"
"918";"1. FSV Mainz 05";"Allemagne";"Bundesliga";"Professional";"33305";"22"
"1488";"BRG";"Portugal";"Première Ligue";"Professional";"30286";"60"
"1520";"Dinamo Moscow";"Russie";"Première Ligue";"Professional";"26319";"130486"
"1729";"Vallecano";"Espagne";"Première Division";"Professional";"14708";"67"
"1904";"Columbus";"États-Unis";"MLS";"Professional";"20371";"40"
"106756";"Al-Ahly";"Égypte";"Premier Division";"Professional";"74100";"12015393"
"37087229";"Ajax";"Pays-Bas";"Première Division";"Professional";"2100";"2000180030"
"2000169149";"Casciavit";"Italie";"Serie A Women Athora";"Professional";"4000";"2000168606"
"2000252486";"FC Nantes";"France";"Division 1";"Professional";"2280";"2000149107"
"93";"Racing Club";"Argentine";"1ère Division";"Professional";"51000";"102421"
"432";"Dinamo";"Croatie";"1ère Division";"Professional";"35023";"129645"
"654";"Fulham";"Angleterre";"Premier League";"Professional";"29600";"11"
"692";"Nott'm Forest";"Angleterre";"Premier League";"Professional";"31576";"11"
"1259";"León";"Mexique";"1ère Division";"Professional";"35000";"135973"
"1570";"Rangers";"Écosse";"William Hill Premiership";"Professional";"51286";"45"
"72041885";"NYCFC";"États-Unis";"MLS";"Professional";"54521";"40"
"2000104583";"West Ham";"Angleterre";"WSL";"Professional";"6078";"2000101095"
"2000178048";"Havre AC";"France";"Division 1";"Professional";"24500";"2000149107"
"2000209673";"Sporting CP";"Portugal";"Championnat National";"Professional";"1184";"2000209806"
"2000209838";"SKN St. Pölten";"Autriche";"Première division féminin";"Professional";"8000";"2000209813"
"617";"Brentford";"Angleterre";"Premier League";"Professional";"17250";"11"
"740";"Wolves";"Angleterre";"Premier League";"Professional";"31852";"11"
"872";"Strasbourg";"France";"Ligue 1 McDonald's";"Professional";"32047";"16"
"1132";"Genoa";"Italie";"Serie A";"Professional";"33205";"32"
"1726";"Mallorca";"Espagne";"Première Division";"Professional";"23142";"67"
"106027";"Atlas";"Mexique";"1ère Division";"Professional";"56713";"135973"
"106063";"Al-Ittihad";"Arabie saoudite";"1ère division saoudienne";"Professional";"62241";"7920263"
"2000167904";"Madrid FC";"Espagne";"Première Division";"Professional";"4500";"2000167898"
"89";"Independiente";"Argentine";"1ère Division";"Professional";"48000";"102421"
"152";"FK Austria Vienna";"Autriche";"Première Ligue";"Professional";"20404";"136543"
"288";"Union SG";"Belgique";"Jupiler Pro League";"Professional";"8500";"1"
"317";"BRA";"Brésil";"1ère Division";"Professional";"12000";"102423"
"671";"Leeds";"Angleterre";"Premier League";"Professional";"37645";"11"
"828";"Saint-Étienne";"France";"Ligue 2 BKT";"Professional";"42000";"17"
"1178";"Udinese";"Italie";"Serie A";"Professional";"25132";"32"
"1293";"Bodø/Glimt";"Norvège";"Première division";"Professional";"8270";"1300397"
"1895";"Shakhtar";"Ukraine";"Championnat d'Ukraine";"Professional";"33400";"5314301"
"1955";"Crvena zvezda";"Serbie";"Super League";"Professional";"51755";"132321"
"2201";"Hellas Verona";"Italie";"Serie A";"Professional";"39210";"32"
"2238";"FC Augsburg";"Allemagne";"Bundesliga";"Professional";"30660";"22"
"127787";"Qarabag FK";"Azerbaïdjan";"Yuksak Liqa d'Azerbaïjan";"Professional";"5800";"59006943"
"950376";"Al-Ain FC";"E.A.U.";"ADNOC Pro League";"Professional";"25000";"7880000"
"975489";"Portland";"États-Unis";"MLS";"Professional";"25000";"40"
"22003969";"Ludogorets";"Bulgarie";"Championnat A";"Professional";"10471";"7500000"
"72047296";"Atlanta United";"États-Unis";"MLS";"Professional";"73019";"40"
"2000148284";"SV Werder Bremen";"Allemagne";"GP Frauen-Bundesliga";"Professional";"5000";"2000148115"
"2000148287";"SC Freiburg";"Allemagne";"GP Frauen-Bundesliga";"Professional";"24000";"2000148115"
"2000148290";"1. FC Köln";"Allemagne";"GP Frauen-Bundesliga";"Professional";"5200";"2000148115"
"2000167912";"Costa Adeje";"Espagne";"-";"Professional";"1100";"-1"
"2000212728";"Reims";"France";"Division 2";"Professional";"2000";"2000183888"
